Pagina;Viñeta;Identificacion_Error;Primer_Puntaje;Errores;Puntos_del_error;Causa_del_Error
15;3;1;5;Error contextual;5;"El uso de la palabra ""bautizar"" daña demasiado a la traducción ya que es un japonés y no es cristiano y puede llevar a equivocación. Simplemente tendría que haberla cambiado por ""cambiarse el nombre"" o ""ponerse el nombre""."
15;4;1;10;cero;-1;
15;5;1;10;cero;-1;
16;1;1;10;cero;-1;
16;2;1;8;Error de matiz;2;"En vez de utilizar la palabra ""absurdo"", en el original les esta llamando a sí mismos tontos, en plan ""tontos de nosotros"" o ""nosotros los tontos del…"" y continua con ""sekihotai…"""
16;3;1;8;Error de matiz;1;El muchacho que habla, solo dice que se ha desbastado una parte de la tropa a la que él pertenecía y no totalmente como dice en la traducción.
16;3;2;8;Error de matiz;1;"Utiliza la palabra feudo en vez de clan. La palabra clan está mejor empleada ya que se dividían en clanes y el Kanji de ""han"" significa Clan."
16;4;1;2;invención;8;"no dice nada de lo que pone en la traducción. No es muy relevante  esta viñeta pero la traducción es ""¿Y eso?"" ""¿por qué?"
16;5;1;8;Error de matiz;2;"El gobierno se sobrentiende que anula el decreto pero lo que quiere expresar el personaje es que ""ahora le es un obstáculo que los estemos promulgando"" eso es lo que dice el original."
16;5;2;6;falta palabra;1;no habla de la unión de los campesinos a la causa militar
16;5;3;6;invención;3;"no dice nada de un chivo expiatorio que se referirá a que los han utilizados para su beneficio, sin embargo no implica nada de eso en esta viñeta. Dice que ""el gobierno ha decidido deshacerse de nosotros, ya que nos han rebajado a una mera falsa milicia del gobierno""."
17;1;1;10;cero;-1;
17;2;1;10;cero;-1;
17;3;1;10;cero;-1;
17;4;1;10;cero;-1;
17;5;1;2;Falta palabra;3;Falta la referencia al nivel de soldado de Sanosuke. Según los soldados del Capitán Sagara es un semi-soldado y eso no se expresa en la traducción.
17;5;2;2;invención;5;El segundo bocadillo se lo inventa el traductor ya que el soldado le expresa que sería inútil se viniera. No que es demasiado joven, además de eso, pero es solo por eso. Expresándole que aún no está preparado para pelear.
17;6;1;10;cero;-1;
17;7;1;10;cero;-1;
17;8;1;10;cero;-1;
18;1;1;7;invención;1;no dice nada de primera división
18;1;2;7;Falta palabra;1;"Falta la referencia a una milicia falsa del gobierno. En el original resalta mucho la palabra ""falsa""."
18;1;3;7;Falta palabra;1;Falta la referencia a la causa de daños a los aldeanos. En el original lo consigue con la referencia a la seducción de la naturaleza humana.
18;2;1;6;invención;4;No dice nada de la burla o de que lo que les ha fastidiado es que se hayan reído de ellos. Eso es lo que dice en el original y no que se han molestado por las informaciones falsas, en parte si pero no es por eso si no que les tildan de burlones.
18;3;1;8;Error de matiz;2;"En vez de utilizar la palabra ""criminal"" utiliza la palabra ""malhechor"". Su significado es el mismo pero cuando se piensa en la palabra malhechor en castellano se viene a la mente una persona cruel pero en este caso se les tildan como criminales, fuera de la ley."
18;4;1;10;cero sin;-2;
19;1;1;9;Error de matiz;1;"No hace referencia a que casi desaparece, en el original dice ""estaba a punto de desaparecer"", que expresa que Kenshin ya pensaba que no se iba a levantar de nuevo."
19;2;1;10;cero;-1;
19;3;1;0;invención;5;No dice nada del símbolo del mal. Metáfora importante porque así se nombra el título del capítulo entre otras cosas.
19;3;2;0;invención;4;No dice nada sobre que los del Isinshishi (los patriotas del gobierno Meiji) jugaban con la justicia.
19;3;3;0;invención;1;"En el segundo bocadillo no dice ""no pueden vencerme"" si no que vuelve a hacer referencia al hecho de no poder perder. ""No puedo perder"""
19;4;1;10;cero;-1;
19;5;1;10;cero;-1;
19;6;1;10;cero;-1;
19;7;1;10;cero sin;-2;
19;8;1;10;cero sin;-2;
19;8;1;10;cero sin;-2;
20;1;1;10;cero sin;-2;
20;2;1;10;cero;-1;
20;3;1;10;cero;-1;
20;4;1;4;invención;1;"En el primer bocadillo cambia completamente. En el original dice simplemente ""hermano"" y no pregunta ""¿pero qué?."
20;4;2;4;Invención;2;No hace referencia a la burla de que Kenshin tenga prejuicios a la pistola y a las balas.
20;4;3;4;Invención;3;No hace referencia a que el plan va siendo mejor.  O que cada vez va siendo mejor. En el original habla de que el plan va cogiendo experiencia. No habla de nada de eso en la traducción. Lo pone de irrelevante. Y no es un chascarrillo como en la traducción. Por otra parte este era su primer plan, el utilizar el arma.
20;5;1;10;cero sin;-2;
20;6;1;10;cero sin;-2;
21;1;1;10;cero;-1;
21;2;1;10;cero;-1;
21;3;1;7;Falta palabra;3;En el original habla de dos acciones que realiza Kenshin. Una es la de esquivar la bala y la otra es de pararla.
21;3;2;7;Falta palabra;2;En la traducción no habla de la empuñadura de la espada. Solo que con la espada la ha parado la bala.
21;4;1;10;cero;-1;
21;5;1;10;cero sin;-2;
22;1;1;3;invención;4;El primer bocadillo no dice nada de atar a los niños, solo le ordena Kihee a Gohei que se asegure de que no puedan huir los niños. Solo eso. No le da en esta viñeta ninguna idea de como hacerlo.
22;1;2;3;Falta palabra;3;No hace referencia a lo que le decía su hermano de que se aseguren de que no huyan. Es un punto bastante importante. Lo único que está acertado en la viñeta es que no tiene cuerda.
22;2;1;10;cero;-1;
22;3;1;10;cero;-1;
22;4;1;10;cero;-1;
22;5;1;8;Error de matiz;2;"La palabra que utiliza para insultar a Gohei es menos fuerte que la de ""bastardo"" que se utiliza en el original. Esa es la que yo hubiera preferido poner."
22;6;1;7;invención;2;La manera en la que le habla Yahiko a Kaoru es muy diferente en el original. Yahiko se está refiriendo a la situación de Kaoru, a su estado de estupefacción. Ella está ahí parada sin hacer nada.
22;6;2;7;Error de matiz;1;"Me resulta mejor la palabra ""huir"" que la de ""correr rápido"" que utiliza el traductor."
22;7;1;8;Falta palabra;2;"no menciona el estado de la cadera de Kaoru. En el original hace referencia a que no puede (huir) por que a causa de algo (que no se especifica) tiene dolorida la cadera. En el original dice ""no puedo, a causa de antes mi cadera…"""
22;8;1;0;invención;10;"Dice en el original a Yahiko ""lucha, lucha"" y no ""ya voy, ya voy"". Es un poco irrelevante, pero en el original le está tentando a Yahiko a que luche contra el."
23;1;1;10;cero sin;-2;
23;2;1;10;cero sin;-2;
23;3;1;10;cero;-1;
23;4;1;10;cero;-1;
23;5;1;10;cero;-1;
24;1;1;0;invención;10;"No dice nada de ganar si no que utiliza su otra forma con la negación del verbo ""perder"". No puedo perder. Se centra más en el hecho de perder que en el de ganar. Su sentimiento de perdida es mayor."
24;2;1;10;cero sin;-2;
24;3;1;10;cero;-1;
24;4;1;0;invención;10;"No dice nada de que sea o no un hombre incorregible si no que ""de verdad que eres un hombre que no está a salvo"" o ""de verdad que no eres un hombre que esté a salvo"". Hace referencia a la situación de Kihee ante Sanosuke por un lado y Kenshin por el otro. No a su manera de haber actuado."
24;5;1;10;cero;-1;
24;6;1;10;cero sin;-2;
25;1;1;7;invención;3;no dice que se calle si no todo lo contrario, que murmulle o e incluso se podría traducir por di lo que quieras. Pero no le manda callar.
25;2;1;9;Error de nombre;1;"Como en el fallo 13.2.1 el nombre de la técnica pienso que es mejor no traducirlo. Aunque la traducción que realiza en este caso no es mala al incluir la imagen de la palaba ""tierra"" dentro de la técnica."
25;3;1;10;cero sin;-2;
26;1;1;10;cero sin;-2;
26;2;1;0;invención;10;la onomatopeya se la inventa completamente. No hace referencia al sonido del golpe si no al grito de Kihee.
26;3;1;4;Error de matiz;4;no habla de la vida del infierno. El matiz del original no lo consigue con la traducción. Las palabras son más fuertes en el original que en la traducción. Le está diciendo que sabor el infierno.
26;3;2;4;Falta palabra;2;no hace referencia al estado en el que se encuentra Kihee. Le informa Kenshin que no se va a desmayar. Pero en la traducción no lo pone.
26;4;1;10;cero;-1;
26;5;1;6;error de matiz;4;no hace referencia a las personas parecidas a Kihee. El llevar el símbolo del mal se refiere a un clan, a un grupo y no a un única persona. Ese matiz no lo consigue el traductor.
26;6;1;10;cero;-1;
27;1;1;8;Error de matiz;2;Lo que sugiere en la traducción es que quiere seguir el combate, pero sin embargo en el original pone más énfasis en la necesidad de acabar el combate y en el ánimo de acabarlo, de ponerle fin. Tiene más fuerza en el original que en la traducción. Es un problema de matiz.
27;2;1;10;cero;-1;
27;3;1;10;cero;-1;
27;4;1;10;cero sin;-2;
27;5;1;8;Falta palabra;2;"Falta la mención a que está de acuerdo en continuar la batalla. En terminarla. En el original dice ""de acuerdo"" o ""entendido"". También se podría traducir por ""comprendo que seas un superviviente del Sekihotai, Sanosuke Sagara"" si lo solapamos con el anterior. Pero en este caso no lo he traducido así porque me he fijado más en el bocadillo de esta viñeta."
28;1;1;10;cero;-1;
29;1;1;8;invención;2;"El título está equivocado, dice ""un compañero más"" y no ""un recién llegado""."
29;2;1;9;Error de matiz;1;"La manera con la que pregunta Yahiko parece que está preguntando ""¿pero que hace ese loco?"", como si se hubiera vuelto loco. En la traducción no menciona la palabra loco. Y en el original solo se centra en la técnica. Y se pregunta no por lo que hace Sanosuke si no por la técnica que está utilizando."
29;3;1;10;cero;-1;
29;4;1;10;cero;-1;
30;1;1;10;cero;-1;
30;2;1;10;cero;-1;
30;3;1;10;cero;-1;
31;1;1;7;Falta palabra;3;no hace mención a la estrechez de mente de Sanosuke
31;2;1;10;cero;-1;
31;3;1;10;cero sin;-2;
31;4;1;10;cero sin;-2;
32;1;1;8;invención;2;"El título está equivocado, dice ""un compañero más"" y no ""un recién llegado""."
33;1;1;10;cero sin;-2;
33;2;1;10;cero sin;-2;
33;3;1;10;cero sin;-2;
33;4;1;10;cero;-1;
33;5;1;10;cero;-1;
33;6;1;10;cero;-1;
34;1;1;10;cero sin;-2;
35;1;1;10;cero sin;-2;
35;2;1;10;cero;-1;
35;3;1;10;cero;-1;
35;4;1;10;cero;-1;
35;5;1;8;Error de matiz;2;"Expresan los mismo pero con diferentes palabras, en el original hace referencia a ""mantenerse en pie"" y en la traducción a ""encontrase bien"". Me gusta más la traducción literal en este caso porque hace referencia al estado físico y actual de Sanosuke, el está ahí de pie con ayuda del bastón."
35;6;1;9;Falta palabra;1;le está expresando que se quede ahí esperando. En la traducción no lo dice.
35;7;1;10;cero sin;-2;
36;1;1;8;Error de matiz;2;no dice seguir de pie en esta ocasión si no que vuelve hacer referencia el no haber sido aún derrotado. 
36;2;1;10;cero;-1;
36;3;1;6;invención;2;El original no habla de poner la vida en peligro.
36;3;2;6;Falta palabra;2;no hace referencia al intento de matarle. En el que dice que no puede perder por intentar matar a Kenshin. 
36;4;1;10;cero sin;-2;
36;5;1;10;cero;-1;
36;6;1;8;Falta palabra;2;"Falta la segunda mención a la orden de venir. En el primer bocadillo ya lo dice, ""ven"". Y en el segundo lo dice con más fuerza ""que vengas"". En cambio en la traducción no lo refleja."
37;1;1;10;cero sin;-2;
37;2;1;10;cero sin;-2;
37;3;1;10;cero sin;-2;
37;4;1;10;cero sin;-2;
37;5;1;8;Error de matiz;2;"Tiene algo de diferencia con lo que se expresa en el original. En el original hace referencia al oponente y no al camino como dice en la traducción. Literalmente en la traducción dice ""¿no será diferente tu oponente de combate?"""
37;6;1;7;Error de significado;3;"No habla de lo que pretendía el Sekihotai si no de lo que Sanosuke haya podido aprender de ellos. Literalmente dice en el original ¿""que te ha enseñado el Sekihotai…"" La traducción está mal realizada porque traducen ""enseñar"" por ""pretender"" y no es lo mismo."
38;1;1;6;Falta palabra;2;"no dice nada del disfrute mundano, del vivir bien e incluso con cosas innecesarias. En la traducción solo dice ""hacerse con el poder""."
38;1;2;6;falta palabra;2;"En el primer bocadillo solo utiliza la palabra ""cállate"" en la traducción pero en el original expresa más cosas. En el original dice ""Cállate, me molestas lo que estas diciendo"" o ""me molesta lo que dices"". "
38;2;1;7;Error de significado;3;"En el original no dice ""mentira"" como pone en la traducción si no que dice ""no es eso"" o incluso ""te equivocas"". El hecho de llamarle mentiroso es que a ciencia cierta Sanosuke sabe la verdad y está mintiendo. Sin embargo, Sanosuke no sabe la verdad de Kenshin y como es ahora."
38;3;1;5;Error de matiz;2;En la traducción ya está implicando que solo hay dos tipos de patriotas. Por un lado esta Kenshin y por otro los demás. Diciendo que Kenshin es el único patrita bueno (por decirlo de alguna manera).
38;3;2;5;Error de significado;2;"El traductor ha traducido la palabra ""cargo oficial en la policía"" por ""gloria""."
38;3;3;5;Falta palabra;1;no hace mención a su espada
38;4;1;0;invención;5;"Se lo ha inventado el traductor. En el original le dice ""nada más que conoces al Kenshin asesino"". Y en la traducción le está diciendo que Kenshin no es un asesino. Kenshin anteriormente si que fue un asesino despiadado y por eso se ha ganado el nombre de ""Battosai el asesino""."
38;4;2;0;invención;5;no habla de lo egoísta que está siendo Sanosuke. Estos dos bocadillos se los ha inventado por completo.
38;5;1;7;Falta palabra;2;"Falta la traducción de ??????que es un poco enrevesada su traducción pero se puede traducir por el contexto por ""Te equivocas de oponente""."
38;5;2;7;Falta palabra;1;Falta la presentación de Yahiko. Los japoneses antes de luchar contra un contrincante lo normal es que se presenten antes. Y así lo hace Yahiko diciéndole incluso su apellido.
38;6;1;0;invención;10;"Se inventa por completo la traducción de este texto incrustado en la viñeta. Por el contexto se puede deducir que le está diciendo algo Kenshin a Yahiko y que le dice algo como ""retira lo que has dicho"" que es lo que pone en el original."
38;7;1;10;cero sin;-2;
39;1;1;10;cero;-1;
39;2;1;5;Error de significado;2;no habla de un nuevo gobierno si no de la era Meiji
39;2;2;5;Falta palabra;1;Expresan lo mismo pero difieren en que en la traducción no habla de la necesidad de ser feliz de las personas.
39;2;3;5;Error de matiz;2;"El tono que utiliza Kaoru en el original tiene más peso, evoca una atmosfera del pasado y no tan vulgar como el uso de la palabra ""antes""."
39;3;1;10;cero;-1;
40;1;1;6;invención;4;no dice nada de su propia lucha si no del final de la época Meiji como causa de hacer justicia por las victimas de nueva era.
40;2;1;7;Error de matiz;3;Expresa lo mismo pero el matiz es diferente ya que el no pide claramente perdón por sus victimas si no que también piensa que lo que hizo se hará justicia o incluso se recompensará con la nueva era Meiji. 
40;3;1;10;cero;-1;
40;4;1;10;cero;-1;
40;5;1;7;Falta palabra;1;falta la mención al sueño o a la reflexión del Capitán Sagara para realizar la comparación con Kenshin.
40;5;2;7;invención;1;"Al igual que cuando le dice Kaoru a Yahiko que a causa de su cadera no puede huir. Aquí en el original Kenshin le dice ""te has fracturado la cadera"". En el original no habla nada de la cadera, ni de la causa por la que no se puede mover. Simplemente le pregunta ""no puede moverse""."
40;5;3;7;Error de matiz;1;"la traducción más fiel en el bocadillo de Yahiko sería ""Qué instructora más patética""."
40;6;1;10;cero;-1;
41;1;1;8;falta palabra;2;no hace referencia a su rendición y al sentimiento de la misma
41;2;1;10;cero sin;-2;
41;3;1;10;cero;-1;
41;4;1;10;cero;-1;
42;1;1;10;cero;-1;
42;2;1;10;cero;-1;
42;3;1;8;Error de matiz;2;En el original dice que no pudo calcular la situación y no que actuase sin miramientos. Una cosa es que actuase conscientemente como dice en la traducción y otra que no tuvo la posibilidad o que no fue capaz.
42;4;1;8;Falta palabra;2;en el original habla de cara terrorífica. Y no lo menciona la traducción
42;5;1;6;Falta palabra;2;falta la palabra tirón muscular
42;5;2;6;Falta palabra;1;falta la mención a la parte de la cara. A los ojos.
42;5;3;6;Falta palabra;1;"falta la palabra sobreentendida en japonés pero no en castellano de ""no poder mover""."
42;6;1;10;cero;-1;
43;1;1;8;Error de matiz;2;"no dice que les guste la cara de Kenshin si no que ""esa si es la cara de Kenshin"". La cara que le ha quedado después del pellizco si que pertenece a Kenshin. Eso es lo que quiere expresar Kaoru."
43;2;1;7;Error de significado;2;"En el original no dice ""combate"" si no que dice ""caso"" en plan ""caso cerrado"" refiriéndose no al combate si no a su cara tensada de antes."
43;2;2;7;error de matiz;1;no dice nada de Sukiyaki. Si no habla de Gyunabe. No tiene mucha importancia porque en Gyunabe también se como Sukiyaki. Pero el matiz no es el mismo.
43;3;1;9;error de significado;1;No habla de vaca si no de cochina o cerda. Expresa lo mismo, que de comer tanto estará fea.
43;4;1;10;cero;-1;
43;5;1;7;Falta palabra;1;En el original le manda callar Yahiko a Kaoru. Pero en la traducción no lo dice.
43;5;2;7;invención;1;no dice nada de intentar ganar si no de insultar. 
43;5;3;7;Error de Referencia;1;no hace referencia a Kaoru ni a Yahiko si no a el mismo. Si dijese venid cuando hayáis acabado utilizaría un imperativo pero en este caso, en el original utiliza el  verbo en forma diccionario. 
43;6;1;10;cero;-1;
44;1;1;10;cero;-1;
44;2;1;7;Error de Referencia;2;"No habla solo de Kenshin si no de vosotros.   El original dice ""Sois los de antes"""
44;2;2;7;invención;1;"En ""el segundo bocadillo dice ""Aquí también"" y no dice ""el otra vez"" ni nada de eso. "
44;3;1;5;invención;5;El traductor se el inventado el bocadillo. En original dice que no tiene problemas en luchar borracho. Y a continuación le dice que quiere volver a luchar con el cuando se haga más fuerte y disciplinado. No dice nada que solo lucha contra borrachines cuando son fuertes.
44;4;1;10;cero;-1;
44;5;1;8;Error de significado;1;no habla de la resistencia si no de la fuerza
44;5;2;8;Error de significado;1;"No dice nada de mi fuerte si no del ""truco""."
44;6;1;10;cero;-1;
45;1;1;10;cero;-1;
45;2;1;8;Error de matiz;1;no dice nada de bacilar. Sin embargo el significado es lo mismo. En el original se refiere a lo pretencioso que es Sanosuke. Por eso le pongo un error de matiz.
45;2;2;8;Error de significado;1;Como en el anterior fallo, no habla de resistencia si no de fuerza. 
45;3;1;10;cero;-1;
45;4;1;5;invención;2;"no dice que sea muy importante el pasado para el. Se sobre entiende en el contexto. Pero lo que dice es que el que le pusieran el símbolo del mal el Sekihotai es pasado. Literalmente dice ""El Sekihoutai me lo puso, pero no puedo olvidarlo al ser parte del pasado""."
45;4;2;5;invención;2;en el segundo bocadillo dice que no se puede deshacer de el. Eso pone en el original.
45;4;3;5;Error de matiz;1;En el primer bocadillo, solo es una onomatopeya de aah. No de negación.
45;5;1;7;Error de matiz;1;"Expresa lo mismo pero con diferentes palabras. Traduce ""no hay otra manera"" por ""incorregible"". "
45;5;2;7;Error de significado;1;"No habla de espíritu de rebeldía si no de ""personalidad""."
45;5;3;7;invención;1;Y en el segundo bocadillo se inventa un poco lo que dice. En el original se refiere a que Kenshin puede decir lo que quiera.
45;6;1;10;cero;-1;
46;1;1;10;cero;-1;
46;2;1;10;cero sin;-2;
46;3;1;8;Error de significado;2;no dice que se acabe la zanbatou si no que no la tiene.
46;4;1;10;cero;-1;
46;5;1;10;cero;-1;
46;6;1;0;invención;10;La nota del traductor no corresponde a ninguna palabra que haya utilizado en los bocadillos. Estaría bien si la hubiera empleado. Y además en esta página no aparece ni en el original la palabra Gyunabe que corresponde a la página anterior.
47;1;1;7;error de matiz;3;le está expresando que no salga de su condición de vagabundo.
47;2;1;7;invención;2;"se inventa el primer bocadillo. En ningún momento dice ""bienvenido a"""
47;2;2;7;error de matiz;1;"la traducción más perfecta sería ""de nuevo aumentan los raros"" u ""otra vez aumenta lo raro"""
47;3;1;10;cero;-1;
47;4;1;10;cero;-1;
48;1;1;10;cero;-1;
49;1;1;10;cero sin;-2;
49;2;1;10;cero;-1;
49;3;1;7;Error de significado;3;no  habla de bañera dorada si no de abundancia de dinero.
50;1;1;10;cero;-1;
50;2;1;10;cero sin;-2;
50;3;1;10;cero sin;-2;
50;4;1;10;cero;-1;
50;5;1;10;cero;-1;
50;6;1;10;cero sin;-2;
51;1;1;10;cero;-1;
52;1;1;10;cero;-1;
52;2;1;7;Falta palabra;2;"falta la mención de ""señorita"". La manera un tanto despectiva que utiliza Sanosuke para llamar a Kaoru. O se puede traducir por ""jovencita"". "
52;2;2;7;Error de matiz;1;Falta el uso de la disyuntiva. De o bien ensayas o bien te enseño
52;3;1;0;invención;5;se inventa los dos bocadillos. El primero hace referencia a que Kenshin también les puede acompañar.  
52;4;1;0;invención;5;Y en el segundo bocadillo dice claramente a medida que comes la comida va aumentando  el gusto. No sea una comida muy sutil como menciona la traducción.
52;5;1;2;invención;8;Habla del pescado Kusaya. Pero no que su sabor sea tane  sutil como el del Kusaya. Si no que lo que están comiendo es Kusaya y por eso tiene ese sabor.
52;6;1;10;cero;-1;
53;1;1;10;cero;-1;
53;2;1;10;cero;-1;
53;3;1;10;cero;-1;
53;4;1;8;error de matiz;2;no dice nada de que es para ti. Le informa a Kenshin que el jefe de policía ha venido. Esto es un error de matiz. Expresa lo mismo pero la referencia también cambia.
53;5;1;10;cero;-1;
53;6;1;10;cero;-1;
53;7;1;9;invención;1;"expresa lo mismo, sin embargo si se observa la literalidad del bocadillo no dice en ningún momento ""servicio"". Aunque estaría bien también. Por eso solo le pongo un punto a este error"
54;1;1;10;cero;-1;
54;2;1;10;cero;-1;
54;3;1;2;Error de significado;1;La palabra que utiliza para referirse a policía con espada la traduce simplemente por policía armada. Hay que tener en cuenta que en la mente de un castellano hablante cuando se habla de persona armada siempre piensa en policía armada con arma de fuego y no con espada. En el original hace hincapié y acalara que esa policia estaba armada con espadas.
54;3;2;2;invención;7;El segundo bocadillo se lo inventa por completo. No dice que estan intentando sanear las demás tropas. En el original le pide disculpas pero se escusa de que la manera en la que actuó la policía estaba acorde con la moralidad de la policía.
54;4;1;10;cero;-1;
54;5;1;10;cero;-1;
55;1;1;8;error de significado;1;no habla de asesino si no de villano.
55;1;1;8;Error de matiz;1;Y enfatiza la particularidad de ese villano. Es ese villano y no otro. Ya que en el original utiliza ???antes del sustantivo villano.
55;2;1;9;Error de significado;1;El mismo error que antes. No es asesino si no villano.
55;2;2;7;Falta palabra;2;Falta la información de que ha aparecido con frecuencia en todo el país de Japón.
55;2;1;7;Error de significado;1;la carta no es de amenaza ya que la amenaza implica un chantage. Es una carta que indica la manera del asesinato.
55;3;1;2;invención;8;"Se inventa el bocadillo. No dice nada de venganza. Si no de reforma. Termina con la expresión de ""o eso pienso yo"""
55;4;1;10;cero;-1;
55;5;1;10;cero;-1;
55;6;1;10;cero sin;-2;
56;1;1;5;Falta palabra;2;Falta la mención de que a las personas que protejan al patriota también les introducirá su Katana (refiriendose al asesino).
56;1;2;5;invención;3;no habla de que el mismo se proteja con todos sus medios.
56;2;1;8;invención;2;En esta viñeta no hace mención a los patriotas
56;3;1;7;Error de significado;3;En esta ocasión se debe incluir la palabra pistola ya que se haría la diferencia con la policía armada con espadas.
56;4;1;5;Error de matiz;2;No hace mención al hecho de tocar su pistola si no a antes de que saliera la bala.
56;4;2;5;Error de significado;2;Habla de nuevo de arma y no de pistola o revolver u arma de fuego.
56;4;3;5;Error de significado;1;"la traducción más fiel es ""asesinados"" y no ""atacados"""
56;5;1;10;cero;-1;
57;1;1;10;cero;-1;
57;2;1;10;cero sin;-2;
57;3;1;10;cero;-1;
58;1;1;8;Invención;1;El traductor se inventa el primer bocadillo, no dice nada de que se convierta en un asesino.
58;1;2;8;Falta palabra;1;Falta la palabra olor y color, imagen que si expone el autor del manga.
58;2;1;5;error de matiz;5;"la frase de la traducción dice ""no debería de existir un hombre así"" sin embargo en el original dice ""áun quedan personas parecidas a el"". Expresando que debe haber más gente como ella, y no por el simple hecho de que haya pasado diez años no queden de esas personas. Si no que está reafirmando su propio pensamiento, el sabe que hay más gente como ella."
58;3;1;10;cero;-1;
58;4;1;10;cero sin;-2;
58;5;1;10;cero;-1;
59;1;1;7;invención;3;no habla de echarle una mano si no que se refiere a una persona ayudante. “¿una persona que ayude a los escoltas?”
59;2;1;6;Error de matiz;2;no  expresa el desprecio hacia el asesino como en el original. En el original impone más las palabras que utiliza. No dice que esta solo si no que es un mero villano
59;2;2;6;falta palabra;2;"falta ""un ayudante"""
59;3;1;10;cero;-1;
59;4;1;7;error de matiz;2;no dice exactamente lo mismo, lo que expresa es igual pero tiene más peso en el original. Ya que incluso le está despreciando e insultando al policía y no lo consigue tan bien como en la traducción.
